Title of the Seminar,Presenter,Time,Date,Location,Abstract
Ethics in AI: Navigating the Moral Landscape of Artificial Intelligence (2nd Offering),Shaghayegh Sadeghi,10:30 AM,"Tuesday, October 1st, 2024","4th Floor Workshop space at 300 Ouellette Avenue, the School of Computer Science Advanced Computing Hub","This workshop explores the ethical issues surrounding artificial intelligence (AI). Participants will learn about ethical principles like fairness, transparency, accountability, and privacy..."
Introduction to Recommender Systems: A Comprehensive Overview (1st Offering),Bahareh Rahmatikargar,9:30 AM,"Wednesday, October 2nd, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave., School of Computer Science Advanced Computing Hub","This workshop covers a comprehensive overview of recommender systems, their fundamental principles, and applications..."
Introduction to Information Retrieval (IR) Techniques (2nd Offering),Zahra Taherikhonakdar,12:00 PM,"Thursday, October 3rd, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub",Information Retrieval (IR) is finding material (usually documents) of an untrusted nature (usually text)...
Membership Inference Attacks against Large Language Models,Shadi Farokhghate,10:00 AM,"Friday, October 4, 2024","Essex Hall, Room 122","Given a machine learning model and a record, Membership Inference Attacks (MIAs) determine whether this record was used as part of the model's training dataset..."
Graph Neural Networks (GNNs) for Link Prediction (1st offering),Nahid Abdolrahmanpour,12:00 PM,"Tuesday, October 1st, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave., School of Computer Science Advanced Computing Hub",Graph Neural Networks (GNNs) have emerged as powerful tools for analyzing and predicting connections in complex systems represented as graphs...
Introduction to Data Clustering (2nd Offering),Ali Abbasi Tadi,1:30 PM,"Thursday, October 3rd, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave., School of Computer Science Advanced Computing Hub",Clustering is a way of grouping data points into different clusters consisting of similar data points...
How to be successful in the workplace,The Team from Next Dimension,11:00 am - 12:00 pm,"Friday, October 4, 2024","Erie Hall, room 3123",The presentation will focus on the importance of business and soft skills for success in the workplace...
Introduction to Data Clustering (1st Offering),Ali Abbasi Tadi,1:30 PM,"Tuesday, October 1st, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave., School of Computer Science Advanced Computing Hub",Clustering is a way of grouping data points into different clusters based on their similarities...
Introduction to Information Retrieval (IR) Techniques (1st Offering),Zahra Taherikhonakdar,2:00 PM,"Wednesday, October 2nd, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub","Information Retrieval (IR) refers to finding material, usually documents, that satisfies an information need from a large collection..."
Graph Neural Networks (GNNs) for Link Prediction (2nd offering),Nahid Abdolrahmanpour,12:00 PM,"Friday, October 4th, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave., School of Computer Science Advanced Computing Hub",Graph Neural Networks (GNNs) are powerful tools for analyzing and predicting connections in complex systems represented as graphs...
Exploration of Low-Level Features for Enhancing Movie Recommendation Systems,Jasmin Patel,1:00 PM,"Friday, October 4, 2024","Essex Hall, Room 122",This thesis presents a hybrid recommendation framework using detection models such as YOLOv8 to identify and catalog objects in movies...
